sample_id,true_label,predicted_label,confidence,is_correct,top1,top2,top3
171,surprise,surprise,0.6939,True,surprise:0.694,fear:0.287,happy:0.011
172,angry,angry,0.8203,True,angry:0.820,sad:0.093,neutral:0.050
173,happy,neutral,0.3931,False,neutral:0.393,happy:0.358,surprise:0.096
174,sad,neutral,0.5213,False,neutral:0.521,angry:0.233,sad:0.170
175,angry,fear,0.4592,False,fear:0.459,angry:0.437,disgust:0.054
176,neutral,neutral,0.4452,True,neutral:0.445,sad:0.194,angry:0.180
177,fear,fear,0.5353,True,fear:0.535,sad:0.231,surprise:0.081
178,disgust,angry,0.6541,False,angry:0.654,sad:0.158,fear:0.105
179,neutral,sad,0.3974,False,sad:0.397,fear:0.287,angry:0.221
180,sad,sad,0.5522,True,sad:0.552,fear:0.209,neutral:0.140
181,neutral,neutral,0.6994,True,neutral:0.699,fear:0.082,sad:0.079
182,neutral,neutral,0.6777,True,neutral:0.678,sad:0.139,angry:0.097
183,angry,surprise,0.3696,False,surprise:0.370,fear:0.188,angry:0.173
184,angry,neutral,0.4745,False,neutral:0.475,sad:0.184,angry:0.157
185,neutral,neutral,0.4697,True,neutral:0.470,happy:0.212,angry:0.145
186,surprise,surprise,0.9869,True,surprise:0.987,fear:0.012,sad:0.000
187,fear,angry,0.5953,False,angry:0.595,fear:0.166,sad:0.096
188,sad,fear,0.4987,False,fear:0.499,sad:0.328,disgust:0.064
189,disgust,surprise,0.4161,False,surprise:0.416,fear:0.374,neutral:0.085
190,happy,happy,0.8551,True,happy:0.855,sad:0.073,neutral:0.028
191,fear,surprise,0.4989,False,surprise:0.499,fear:0.205,neutral:0.125
192,neutral,neutral,0.7323,True,neutral:0.732,sad:0.120,angry:0.068
193,happy,happy,0.3777,True,happy:0.378,sad:0.327,fear:0.136
194,neutral,neutral,0.4292,True,neutral:0.429,sad:0.255,angry:0.130
195,fear,surprise,0.8612,False,surprise:0.861,fear:0.112,angry:0.014
196,surprise,surprise,0.9865,True,surprise:0.986,fear:0.012,sad:0.001
197,angry,angry,0.4513,True,angry:0.451,sad:0.283,neutral:0.186
198,fear,surprise,0.7885,False,surprise:0.788,fear:0.154,happy:0.050
199,happy,happy,0.9243,True,happy:0.924,surprise:0.072,fear:0.002
200,fear,neutral,0.3373,False,neutral:0.337,sad:0.276,angry:0.258
201,sad,fear,0.6271,False,fear:0.627,angry:0.196,sad:0.082
202,fear,fear,0.4766,True,fear:0.477,sad:0.380,angry:0.052
203,sad,fear,0.4717,False,fear:0.472,surprise:0.220,angry:0.108
204,sad,sad,0.3870,True,sad:0.387,fear:0.285,neutral:0.219
205,neutral,sad,0.3643,False,sad:0.364,angry:0.230,fear:0.197
206,fear,angry,0.5605,False,angry:0.560,happy:0.241,fear:0.134
207,fear,surprise,0.9865,False,surprise:0.986,fear:0.013,sad:0.000
208,angry,fear,0.3523,False,fear:0.352,sad:0.249,neutral:0.182
209,fear,fear,0.4613,True,fear:0.461,sad:0.285,neutral:0.123
210,neutral,neutral,0.6019,True,neutral:0.602,sad:0.195,angry:0.075
211,neutral,neutral,0.9796,True,neutral:0.980,sad:0.007,fear:0.005
212,surprise,surprise,0.9574,True,surprise:0.957,fear:0.037,happy:0.003
213,angry,neutral,0.2778,False,neutral:0.278,happy:0.214,sad:0.205
214,angry,angry,0.5451,True,angry:0.545,neutral:0.210,sad:0.125
215,surprise,surprise,0.9486,True,surprise:0.949,fear:0.032,neutral:0.011
216,neutral,neutral,0.3500,True,neutral:0.350,happy:0.269,sad:0.181
217,happy,happy,0.4366,True,happy:0.437,fear:0.146,neutral:0.127
218,neutral,angry,0.4066,False,angry:0.407,neutral:0.330,sad:0.112
219,neutral,fear,0.2494,False,fear:0.249,neutral:0.240,angry:0.190
220,fear,sad,0.5219,False,sad:0.522,angry:0.181,neutral:0.106
221,fear,sad,0.6016,False,sad:0.602,fear:0.300,neutral:0.068
222,surprise,surprise,0.7029,True,surprise:0.703,fear:0.173,angry:0.057
223,surprise,surprise,0.9425,True,surprise:0.942,fear:0.027,happy:0.025
224,sad,neutral,0.3443,False,neutral:0.344,sad:0.198,angry:0.182
225,happy,neutral,0.3380,False,neutral:0.338,sad:0.257,fear:0.177
226,fear,fear,0.4486,True,fear:0.449,angry:0.290,surprise:0.169
227,disgust,angry,0.4127,False,angry:0.413,disgust:0.152,fear:0.128
228,surprise,surprise,0.9595,True,surprise:0.959,fear:0.029,sad:0.005
229,happy,happy,0.8633,True,happy:0.863,neutral:0.094,sad:0.019
230,happy,happy,0.4095,True,happy:0.409,angry:0.338,neutral:0.164
231,neutral,sad,0.4313,False,sad:0.431,neutral:0.306,fear:0.145
232,surprise,surprise,0.5066,True,surprise:0.507,happy:0.306,fear:0.128
233,disgust,fear,0.3417,False,fear:0.342,angry:0.302,disgust:0.185
234,fear,fear,0.4871,True,fear:0.487,sad:0.406,neutral:0.069
235,fear,fear,0.2909,True,fear:0.291,angry:0.291,sad:0.152
236,angry,angry,0.3601,True,angry:0.360,sad:0.357,neutral:0.183
237,surprise,neutral,0.4747,False,neutral:0.475,sad:0.158,surprise:0.154
238,happy,neutral,0.3764,False,neutral:0.376,angry:0.209,happy:0.158
239,neutral,happy,0.3433,False,happy:0.343,neutral:0.282,fear:0.129
240,fear,fear,0.4986,True,fear:0.499,surprise:0.251,angry:0.153
241,sad,sad,0.3826,True,sad:0.383,neutral:0.287,angry:0.200
242,angry,fear,0.4415,False,fear:0.441,angry:0.433,surprise:0.079
243,happy,happy,0.6097,True,happy:0.610,sad:0.178,neutral:0.147
244,surprise,fear,0.3237,False,fear:0.324,happy:0.175,angry:0.174
245,happy,happy,0.8565,True,happy:0.857,neutral:0.056,sad:0.030
246,happy,happy,0.8472,True,happy:0.847,angry:0.072,fear:0.024
247,sad,neutral,0.3436,False,neutral:0.344,sad:0.280,angry:0.243
248,disgust,angry,0.4059,False,angry:0.406,fear:0.362,sad:0.106
249,neutral,surprise,0.4319,False,surprise:0.432,fear:0.281,neutral:0.128
250,sad,fear,0.4123,False,fear:0.412,surprise:0.347,sad:0.086
251,angry,neutral,0.4116,False,neutral:0.412,happy:0.256,sad:0.141
252,angry,angry,0.4599,True,angry:0.460,neutral:0.315,sad:0.093
253,fear,fear,0.5384,True,fear:0.538,sad:0.404,neutral:0.033
254,sad,neutral,0.3437,False,neutral:0.344,sad:0.247,happy:0.203
255,surprise,surprise,0.8639,True,surprise:0.864,fear:0.126,sad:0.003
256,happy,happy,0.9150,True,happy:0.915,neutral:0.051,surprise:0.016
257,happy,happy,0.7894,True,happy:0.789,angry:0.093,fear:0.065
258,happy,happy,0.5022,True,happy:0.502,angry:0.205,neutral:0.135
259,happy,neutral,0.3370,False,neutral:0.337,happy:0.274,sad:0.184
260,happy,happy,0.3700,True,happy:0.370,neutral:0.325,fear:0.104
261,angry,angry,0.6968,True,angry:0.697,fear:0.245,disgust:0.018
262,happy,angry,0.5405,False,angry:0.540,fear:0.238,happy:0.166
263,neutral,neutral,0.8372,True,neutral:0.837,happy:0.052,sad:0.041
264,sad,sad,0.2647,True,sad:0.265,fear:0.211,angry:0.204
265,fear,surprise,0.4875,False,surprise:0.487,fear:0.278,angry:0.123
266,neutral,neutral,0.9450,True,neutral:0.945,sad:0.017,fear:0.015
267,sad,neutral,0.4578,False,neutral:0.458,sad:0.255,angry:0.152
268,fear,fear,0.3958,True,fear:0.396,neutral:0.284,sad:0.164
269,neutral,sad,0.4347,False,sad:0.435,neutral:0.336,fear:0.157
270,happy,happy,0.9923,True,happy:0.992,neutral:0.004,surprise:0.003
271,fear,fear,0.7730,True,fear:0.773,surprise:0.111,sad:0.061
272,happy,surprise,0.8503,False,surprise:0.850,fear:0.105,angry:0.028
273,sad,sad,0.4210,True,sad:0.421,angry:0.183,neutral:0.178
274,sad,sad,0.4179,True,sad:0.418,neutral:0.306,angry:0.132
275,happy,happy,0.9548,True,happy:0.955,neutral:0.018,fear:0.009
276,happy,happy,0.4402,True,happy:0.440,angry:0.222,fear:0.207
277,angry,neutral,0.5441,False,neutral:0.544,sad:0.189,angry:0.111
278,neutral,neutral,0.4751,True,neutral:0.475,angry:0.299,sad:0.123
279,neutral,surprise,0.4511,False,surprise:0.451,neutral:0.261,fear:0.164
280,angry,angry,0.8153,True,angry:0.815,sad:0.094,neutral:0.049
281,sad,sad,0.4395,True,sad:0.439,neutral:0.283,fear:0.158
282,sad,fear,0.3638,False,fear:0.364,angry:0.272,sad:0.263
283,neutral,happy,0.7968,False,happy:0.797,neutral:0.156,sad:0.023
284,sad,neutral,0.6709,False,neutral:0.671,sad:0.136,angry:0.131
285,sad,neutral,0.3561,False,neutral:0.356,angry:0.316,sad:0.264
286,angry,angry,0.4433,True,angry:0.443,neutral:0.280,sad:0.172
287,neutral,sad,0.2808,False,sad:0.281,happy:0.238,neutral:0.231
288,surprise,happy,0.3610,False,happy:0.361,angry:0.234,fear:0.200
289,neutral,angry,0.4179,False,angry:0.418,neutral:0.273,sad:0.158
290,fear,surprise,0.2850,False,surprise:0.285,fear:0.236,neutral:0.186
291,sad,sad,0.5145,True,sad:0.515,fear:0.370,angry:0.059
292,happy,happy,0.8803,True,happy:0.880,surprise:0.101,fear:0.010
293,sad,neutral,0.5407,False,neutral:0.541,sad:0.184,angry:0.099
294,sad,sad,0.5204,True,sad:0.520,neutral:0.194,angry:0.128
295,angry,angry,0.7489,True,angry:0.749,sad:0.135,fear:0.061
296,happy,happy,0.9668,True,happy:0.967,sad:0.016,neutral:0.008
297,happy,happy,0.7438,True,happy:0.744,surprise:0.216,fear:0.025
298,angry,angry,0.4000,True,angry:0.400,neutral:0.251,sad:0.216
299,neutral,neutral,0.9753,True,neutral:0.975,happy:0.011,fear:0.005
300,surprise,fear,0.4760,False,fear:0.476,surprise:0.356,sad:0.066
301,angry,fear,0.4096,False,fear:0.410,angry:0.379,sad:0.074
302,angry,angry,0.5420,True,angry:0.542,fear:0.257,sad:0.078
303,angry,angry,0.7982,True,angry:0.798,fear:0.126,happy:0.023
304,sad,neutral,0.3522,False,neutral:0.352,angry:0.268,sad:0.230
305,angry,sad,0.3017,False,sad:0.302,angry:0.189,neutral:0.189
306,sad,sad,0.3947,True,sad:0.395,fear:0.384,angry:0.113
307,neutral,fear,0.2766,False,fear:0.277,sad:0.228,neutral:0.186
308,neutral,neutral,0.4348,True,neutral:0.435,angry:0.260,sad:0.207
309,happy,happy,0.9449,True,happy:0.945,neutral:0.020,angry:0.014
310,neutral,neutral,0.7440,True,neutral:0.744,sad:0.105,angry:0.091
311,neutral,neutral,0.5079,True,neutral:0.508,sad:0.197,fear:0.120
312,angry,angry,0.8116,True,angry:0.812,fear:0.134,sad:0.026
313,surprise,surprise,0.9232,True,surprise:0.923,fear:0.076,sad:0.001
314,sad,fear,0.2685,False,fear:0.269,angry:0.244,sad:0.179
315,sad,sad,0.6927,True,sad:0.693,fear:0.217,happy:0.044
316,happy,happy,0.9106,True,happy:0.911,neutral:0.042,surprise:0.027
317,neutral,neutral,0.4994,True,neutral:0.499,sad:0.152,fear:0.150
318,sad,neutral,0.3611,False,neutral:0.361,angry:0.220,sad:0.202
319,angry,fear,0.4361,False,fear:0.436,sad:0.227,neutral:0.174
320,happy,happy,0.9098,True,happy:0.910,fear:0.026,surprise:0.025
321,fear,sad,0.3134,False,sad:0.313,neutral:0.306,fear:0.180
322,neutral,neutral,0.4381,True,neutral:0.438,sad:0.172,happy:0.167
323,fear,angry,0.2597,False,angry:0.260,fear:0.169,neutral:0.151
324,angry,neutral,0.5243,False,neutral:0.524,sad:0.197,angry:0.171
325,fear,angry,0.3467,False,angry:0.347,sad:0.227,fear:0.223
326,happy,happy,0.2938,True,happy:0.294,sad:0.251,fear:0.218
327,neutral,angry,0.4098,False,angry:0.410,sad:0.268,neutral:0.225
328,sad,fear,0.4075,False,fear:0.408,angry:0.181,happy:0.150
329,happy,happy,0.5794,True,happy:0.579,fear:0.176,angry:0.112
330,happy,angry,0.4515,False,angry:0.452,neutral:0.301,sad:0.089
331,happy,happy,0.8628,True,happy:0.863,neutral:0.101,fear:0.011
332,surprise,surprise,0.9759,True,surprise:0.976,fear:0.008,neutral:0.008
333,neutral,sad,0.6573,False,sad:0.657,angry:0.155,fear:0.091
334,neutral,neutral,0.9420,True,neutral:0.942,happy:0.052,fear:0.002
335,surprise,surprise,0.6934,True,surprise:0.693,fear:0.143,angry:0.074
336,neutral,neutral,0.7878,True,neutral:0.788,sad:0.084,angry:0.064
337,angry,surprise,0.7907,False,surprise:0.791,fear:0.195,angry:0.008
338,neutral,neutral,0.2700,True,neutral:0.270,fear:0.200,sad:0.198
339,sad,sad,0.3665,True,sad:0.367,fear:0.268,angry:0.214
340,angry,sad,0.2985,False,sad:0.299,neutral:0.264,angry:0.204
341,neutral,neutral,0.5253,True,neutral:0.525,sad:0.181,fear:0.137
342,sad,sad,0.6458,True,sad:0.646,happy:0.132,angry:0.076
343,happy,neutral,0.7199,False,neutral:0.720,sad:0.125,angry:0.077
344,fear,sad,0.3114,False,sad:0.311,fear:0.257,angry:0.226
345,angry,fear,0.6170,False,fear:0.617,angry:0.238,surprise:0.108
346,happy,happy,0.9379,True,happy:0.938,surprise:0.033,fear:0.015
347,surprise,happy,0.5020,False,happy:0.502,fear:0.180,surprise:0.147
348,angry,angry,0.5997,True,angry:0.600,sad:0.178,neutral:0.119
349,angry,sad,0.3348,False,sad:0.335,angry:0.314,neutral:0.185
350,happy,happy,0.5548,True,happy:0.555,surprise:0.354,fear:0.053
351,fear,surprise,0.4305,False,surprise:0.430,fear:0.341,angry:0.093
352,angry,angry,0.6031,True,angry:0.603,fear:0.155,sad:0.146
353,angry,neutral,0.5206,False,neutral:0.521,angry:0.250,sad:0.148
354,surprise,surprise,0.7949,True,surprise:0.795,fear:0.172,happy:0.016
355,neutral,neutral,0.4183,True,neutral:0.418,sad:0.238,happy:0.151
356,sad,sad,0.4867,True,sad:0.487,angry:0.282,fear:0.109
357,happy,happy,0.3630,True,happy:0.363,angry:0.324,fear:0.208
358,fear,sad,0.5119,False,sad:0.512,fear:0.406,angry:0.037
359,happy,happy,0.9258,True,happy:0.926,neutral:0.041,angry:0.011
360,fear,surprise,0.6463,False,surprise:0.646,happy:0.168,fear:0.148
361,happy,happy,0.5116,True,happy:0.512,angry:0.282,fear:0.075
362,surprise,happy,0.9232,False,happy:0.923,surprise:0.044,angry:0.019
363,sad,sad,0.4743,True,sad:0.474,fear:0.192,angry:0.138
364,angry,surprise,0.3332,False,surprise:0.333,neutral:0.257,sad:0.150
365,happy,happy,0.9278,True,happy:0.928,surprise:0.019,neutral:0.018
366,angry,sad,0.7905,False,sad:0.791,fear:0.092,happy:0.065
367,sad,sad,0.4044,True,sad:0.404,fear:0.240,neutral:0.168
368,neutral,neutral,0.6301,True,neutral:0.630,sad:0.160,angry:0.094
369,sad,fear,0.4866,False,fear:0.487,surprise:0.287,sad:0.088
